"Manufacturer","Model_Name","Category","Screen_Size","Screen","CPU","RAM","Storage","GPU","Operating_System","Operating_System_Version","Weight","Price_in_Euros","CPU_Mark","G3D_Mark"
"HP","Probook 640","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.95kg","1195,00","3024","863"
"HP","EliteBook 850","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.84kg","1228,99","3276","863"
"HP","EliteBook 820","Ultrabook","12.5""","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.26kg","1349,00","3276","863"
"HP","ProBook 450","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows","10","2.04kg","742,00","3412","944"
"Toshiba","Tecra Z40-C-136","Ultrabook","14.0""","IPS Panel Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.47kg","1725,00","3507","863"
"Dell","Latitude E5570","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","2.09kg","1062,95","3262","863"
"HP","ProBook 440","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.64kg","1010,51","3412","944"
"Lenovo","Yoga 500-15ISK","2 in 1 Convertible","15.6""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 6500U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.8kg","847,00","3276","863"
"Vero","V142 (X5-Z8350/2GB/32GB/W10)","Notebook","14.0""","1366x768","Intel Atom X5-Z8350 1.44GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows","10","1.45kg","210,80","921","452"
"Toshiba","Tecra A50-C-218","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","256GB SSD","Nvidia GeForce 930M","Windows","10","2.4kg","1425,00","3276","1015"
"Lenovo","Thinkpad L560","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","2.3kg","1049,60","3024","863"
"HP","EliteBook 840","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","1.54kg","1000,00","3024","863"
"HP","EliteBook 850","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD +  500GB HDD","Intel HD Graphics 520","Windows","10","1.84kg","2103,34","3262","863"
"HP","EliteBook 1040","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.43kg","1469,00","3024","863"
"MSI","GT72S Dominator","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows","10","3.78kg","1545,64","6917","7324"
"Lenovo","IdeaPad Y900-17ISK","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows","10","4.6kg","2289,99","6550","7324"
"Asus","Chromebook C202SA","Netbook","11.6""","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","16GB Flash Storage","Intel HD Graphics 400","Chrome OS",,"1.2kg","287,90","660","452"
"Lenovo","ThinkPad X1","Notebook","14.0""","IPS Panel 2560x1440","Intel Core i7 6600U 2.6GHz","16GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.1kg","2620,00","3507","863"
"HP","Noteb Pav","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Windows","10","1.91kg","979,00","3650","1510"
"Dell","Inspiron 5578","2 in 1 Convertible","15.6""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 7200U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.3kg","1094,00","3412","944"
"HP","ProBook 450","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.04kg","979,00","3412","944"
"Dell","XPS 13","Ultrabook","13.3""","Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7500U 2.7GHz","16GB","1TB SSD","Intel HD Graphics 620","Windows","10","1.2kg","2254,00","3650","944"
"HP","ProBook 650","Notebook","15.6""","1366x768","Intel Core i3 6100U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","2.31kg","705,15","2634","863"
"HP","250 G5","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","No OS",,"1.96kg","499,00","3412","944"
"Acer","Aspire ES1-523","Notebook","15.6""","1366x768","AMD A8-Series 7410 2.2GHz","8GB","1TB HDD","AMD Radeon R5","Windows","10","2.4kg","449,00","1803","575"
"Dell","Inspiron 7378","2 in 1 Convertible","13.3""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 7500U 2.7GHz","12GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.6kg","1299,00","3650","944"
"MSI","GT62VR 6RD","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","2.94kg","1819,00","6550","8161"
"HP","ProBook 450","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.04kg","1070,00","3650","944"
"Asus","Rog G752VL-GC088D","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","1TB HDD","Nvidia GeForce GTX 965M","No OS",,"4kgs","998,00","6550","3924"
"Dell","Inspiron 3567","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics","Windows","10","2.25kg","559,00","3412","919"
"Dell","Inspiron 5567","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","2TB HDD","AMD Radeon R7 M445","Windows","10","2.32kg","989,99","3650","911"
"MSI","GS63VR 6RF","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","1.8kg","1929,00","6550","8161"
"Dell","XPS 13","Ultrabook","13.3""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.29kg","1458,00","3650","944"
"Asus","ROG G701VO","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","64GB","1TB SSD","Nvidia GeForce GTX 980 ","Windows","10","3.58kg","3975,00","6917","7324"
"Dell","Inspiron 5368","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.62kg","798,01","3276","863"
"Dell","Alienware 15","Gaming","15.6""","4K Ultra HD 3840x2160","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 970M","Windows","10","3.21kg","1329,00","6550","5826"
"Apple","MacBook 12""","Ultrabook","12.0""","IPS Panel Retina Display 2304x1440","Intel Core M 1.1GHz","8GB","256GB Flash Storage","Intel HD Graphics 515","Mac OS","X","0.920kg","1300,00","2114","620"
"Dell","Latitude 3570","Notebook","15.6""","1366x768","Intel Core i3 6100U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","2.06kg","481,98","2634","863"
"HP","ProBook 650","Notebook","15.6""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","2.31kg","1199,00","3024","863"
"HP","EliteBook 820","Ultrabook","12.5""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.26kg","1199,00","3024","863"
"HP","ProBook 430","Notebook","13.3""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.49kg","1090,00","3650","944"
"Lenovo","ThinkPad Yoga","Ultrabook","12.5""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.3kg","1713,49","3276","863"
"Lenovo","IdeaPad 300-17ISK","Notebook","17.3""","1600x900","Intel Core i5 6200U 2.3GHz","8GB","1TB HDD","AMD Radeon R5 M330","Windows","10","3.0kg","659,00","3024","596"
"Lenovo","Ideapad 700-15ISK","Notebook","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","4GB","1TB HDD","Nvidia GeForce GTX 950M","Windows","10","2.3kg","977,00","4687","2610"
"MSI","GT72VR Dominator","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows","10","3.78kg","2499,00","6954","10465"
"Lenovo","V110-15ISK (i5-6200U/4GB/500GB/W10)","Notebook","15.6""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","10","2.1kg","540,00","3024","863"
"HP","Probook 650","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","7","2.31kg","940,00","3024","863"
"Lenovo","Yoga 900S-12ISK","Ultrabook","12.5""","IPS Panel Touchscreen 2560x1440","Intel Core M 6Y75 1.2GHz","8GB","512GB SSD","Intel HD Graphics 515","Windows","10","0.99kg","1399,00","2305","620"
"Lenovo","IdeaPad Y900-17ISK","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","32GB","512GB SSD +  1TB Hybrid","Nvidia GeForce GTX 980M","Windows","10","4.6kg","3240,00","6917","7324"
"Lenovo","Yoga Book","2 in 1 Convertible","10.1""","IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Windows","10","0.69kg","646,27","1190","452"
"HP","Spectre x360","Ultrabook","13.3""","IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.3kg","2049,00","3650","944"
"Dell","Vostro 3568","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","2.18kg","750,00","3412","944"
"HP","EliteBook 840","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","7","1.54kg","1030,99","3024","863"
"HP","ZBook 15u","Workstation","15.6""","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","AMD FirePro W4190M","Windows","7","1.9kg","1495,00","3276","1117"
"Lenovo","ThinkPad T460","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","1GB SSD","Intel HD Graphics 520","Windows","7","1.7kg","1199,00","3024","863"
"HP","Chromebook 13","Notebook","13.3""","Quad HD+ 3200x1800","Intel Pentium Dual Core 4405Y 1.5GHz","4GB","32GB Flash Storage","Intel HD Graphics 515","Chrome OS",,"1.29kg","615,00","1518","620"
"Acer","Aspire ES1-523","Notebook","15.6""","1366x768","AMD A8-Series 7410 2.2GHz","4GB","500GB HDD","AMD Radeon R5","Windows","10","2.4kg","387,00","1803","575"
"Dell","Inspiron 3552","Notebook","15.6""","1366x768","Intel Pentium Quad Core N3700 1.6GHz","4GB","500GB HDD","Intel HD Graphics","Linux",,"2.2kg","393,49","1321","919"
"HP","250 G6","Notebook","15.6""","1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","No OS",,"1.86kg","345,99","2273","863"
"Asus","Rog GL702VM-GC354T","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","2.7kg","1599,00","6954","8161"
"Dell","Inspiron 5370","Ultrabook","13.3""","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","AMD Radeon 530","Windows","10","1.4kg","818,35","5948","947"
"HP","Elitebook 820","Netbook","12.5""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows","7","2.4kg","1599,00","3024","863"
"Acer","Aspire F5-573G","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 950M","Windows","10","2.4kg","799,00","3412","2610"
"Dell","Inspiron 5567","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Windows","10","2.36kg","638,80","3412","911"
"MSI","GS70 Stealth","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia GeForce GTX 965M","Windows","10","2.6kg","1599,00","6550","3924"
"HP","250 G5","Notebook","15.6""","1366x768","Intel Pentium Quad Core N3710 1.6GHz","4GB","1TB HDD","Intel HD Graphics 405","Windows","10","1.96kg","500,00","1351","487"
"Asus","G752VY-GC162T (i7-6700HQ/16GB/1TB","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows","10","4.3kg","2299,00","6550","7324"
"Dell","Latitude E5270","Ultrabook","12.5""","1366x768","Intel Core i3 6100U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows","7","1.5kg","1135,15","2634","863"
"Dell","Latitude E5270","Ultrabook","12.5""","1366x768","Intel Core i3 6100U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows","7","1.5kg","1166,97","2634","863"
"Acer","Chromebook 15","Notebook","15.6""","1366x768","Intel Celeron Dual Core 3205U 1.5GHz","4GB","16GB SSD","Intel HD Graphics","Chrome OS",,"2.20kg","209,00","918","919"
"HP","ZBook 17","Workstation","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","1TB HDD","AMD FirePro W6150M","Windows","7","3.0kg","2899,00","6550","1515"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.4kg","1199,00","6954","5919"
"Dell","Latitude E5270","Ultrabook","12.5""","1366x768","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.5kg","1413,10","3024","863"
"MSI","GE72 Apache","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows","10","2.9kg","1511,19","6550","3444"
"Lenovo","Yoga 500-15ISK","2 in 1 Convertible","15.6""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i5 6200U 2.3GHz","4GB","256GB SSD","Intel HD Graphics 520","Windows","10","2.1kg","867,00","3024","863"
"HP","15-bw011nv (A6-9220/4GB/1TB/FHD/W10)","Notebook","15.6""","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","1TB HDD","AMD Radeon R4","Windows","10","2.1kg","398,00","1281","333"
"Asus","Rog GL552VW-CN470T","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows","10","2.59kg","1339,00","6550","3444"
"HP","EliteBook 1030","Notebook","13.3""","Quad HD+ / Touchscreen 3200x1800","Intel Core M 6Y54 1.1GHz","8GB","256GB SSD","Intel HD Graphics 515","Windows","10","1.16kg","1699,00","2131","620"
"Dell","Vostro 3559","Notebook","15.6""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","AMD Radeon R5 M315","Windows","7","2.24kg","769,15","3024","476"
"Lenovo","V110-15ISK (i3-6006U/4GB/128GB/W10)","Notebook","15.6""","1366x768","Intel Core i3 6006U 2.0GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows","10","2.1kg","429,00","2273","863"
"HP","Spectre Pro","Ultrabook","13.3""","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","512GB SSD","Intel HD Graphics 520","Windows","10","1.16kg","1969,00","3276","863"
"Lenovo","Yoga Book","2 in 1 Convertible","10.1""","IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Android",,"0.69kg","549,00","1190","452"
"Dell","XPS 13","Ultrabook","13.3""","Full HD 1920x1080","Intel Core i7 7560U 2.4GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Windows","10","1.23kg","1379,00","3801","1331"
"Lenovo","IdeaPad Y900-17ISK","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","16GB","256GB SSD +  1TB Hybrid","Nvidia GeForce GTX 980M","Windows","10","4.6kg","2749,99","6917","7324"
"Razer","Blade Stealth","Ultrabook","12.5""","Touchscreen / 4K Ultra HD 3840x2160","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.25kg","1029,00","3276","863"
"Toshiba","Portege X30-D-10K","Ultrabook","13.3""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows","10","1.05kg","2226,00","3650","944"
"Asus","Rog GL752VW-T4308T","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows","10","3.52kg","1312,49","6550","3444"
"Vero","V131 (X5-Z8350/4GB/32GB/FHD/W10)","Notebook","13.3""","Full HD 1920x1080","Intel Atom X5-Z8350 1.44GHz","4GB","32GB Flash Storage","Intel HD Graphics 400","Windows","10","1.35kg","196,00","921","452"
"HP","Spectre Pro","Notebook","13.3""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.16kg","1690,00","3024","863"
"HP","EliteBook 1040","Notebook","14.0""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.43kg","1513,00","3024","863"
"Dell","Latitude E5570","Notebook","15.6""","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Linux",,"2.09kg","523,63","3024","863"
"Asus","VivoBook Max","Notebook","15.6""","1366x768","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows","10","2kg","435,00","2710","944"
"Lenovo","ThinkPad Yoga","2 in 1 Convertible","14.0""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.8kg","1669,00","3276","863"
"Lenovo","Yoga Book","2 in 1 Convertible","10.1""","IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Windows","10","0.69kg","479,00","1190","452"
"HP","EliteBook 820","Ultrabook","12.5""","1366x768","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.26kg","1895,00","3262","863"
"Lenovo","Legion Y520-15IKBN","Gaming","15.6""","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","No OS",,"2.4kg","989,00","5118","8161"
"HP","Omen -","Gaming","17.3""","IPS Panel Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows","10","3.35kg","1129,00","4687","8161"
"HP","15-bs078cl (i7-7500U/8GB/2TB/W10)","Notebook","15.6""","1366x768","Intel Core i7 7500U 2.7GHz","8GB","2TB HDD","Intel HD Graphics 620","Windows","10","2.04kg","629,00","3650","944"
"Lenovo","ThinkPad P40","2 in 1 Convertible","14.0""","IPS Panel Full HD / Touchscreen 1920x108","Intel Core i7 6600U 2.6GHz","8GB","512GB SSD","Nvidia Quadro M500M","Windows","7","1.8kg","2050,38","3507","1117"
"Asus","L403NA-GA013TS (N3350/4GB/32GB/W10)","Notebook","14.0""","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows","10","1.5kg","278,00","1131","297"
"HP","250 G6","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows","10","1.84kg","752,00","3650","944"
"Acer","Aspire E5-576G","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 940MX","Windows","10","2.23kg","616,00","3412","1510"
"Lenovo","IdeaPad 500-15ISK","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","1TB Hybrid","AMD Radeon R7 M360","Windows","10","2.5kg","1099,00","3276","551"
"HP","ZBook 17","Workstation","17.3""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M3000M","Windows","7","3kg","3949,40","6550","5645"
"Dell","Inspiron 5567","Notebook","15.6""","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Windows","10","2.5kg","784,00","3412","911"
"MSI","GT72S Dominator","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows","10","3.78kg","2399,00","6924","7324"
"HP","EliteBook 850","Ultrabook","15.6""","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.88kg","2171,72","3276","863"
"Lenovo","ThinkPad X1","2 in 1 Convertible","14.0""","IPS Panel Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows","10","2.8kg","2440,00","3507","863"
"MSI","GP62M 7RDX","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows","10","2.4kg","1142,80","6954","5103"
"HP","Spectre Pro","2 in 1 Convertible","13.3""","Full HD / Touchscreen 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.48kg","1629,00","3262","863"
"HP","ZBook 15","Workstation","15.6""","IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M1000M","Windows","7","2.59kg","2229,00","6550","3009"
"HP","Spectre Pro","2 in 1 Convertible","13.3""","Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.48kg","1799,00","3507","863"
"HP","ZBook Studio","Workstation","15.6""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M1000M","Windows","7","2.0kg","1899,00","6550","3009"
"HP","EliteBook 820","Ultrabook","12.5""","Full HD 1920x1080","Intel Core i7 6500U 2.50GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.26kg","2296,95","3276","863"
"Dell","Vostro 5568","Notebook","15.6""","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows","10","2.18kg","1009,90","3650","1510"
"HP","EliteBook 850","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.88kg","1579,00","3024","863"
"Lenovo","ThinkPad X1","2 in 1 Convertible","14.0""","IPS Panel Touchscreen 2560x1440","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","10","1.27kg","2339,00","3276","863"
"Lenovo","V110-15ISK (i3-6006U/4GB/1TB/No","Notebook","15.6""","1366x768","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","Intel HD Graphics 520","No OS",,"1.9kg","339,00","2273","863"
"HP","15-BA015wm (E2-7110/4GB/500GB/W10)","Notebook","15.6""","1366x768","AMD E-Series 7110 1.8GHz","4GB","500GB HDD","AMD Radeon R2 Graphics","Windows","10","1.86kg","297,00","1517","239"
"Lenovo","B51-80 (i5-6200U/8GB/1TB/Radeon","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","1TB HDD","AMD Radeon R5 M330","No OS",,"2.32kg","599,00","3024","596"
"Dell","Inspiron 7567","Gaming","15.6""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050Ti","Windows","10","2.62kg","1199,00","6954","5919"
"Dell","XPS 15","Notebook","15.6""","IPS Panel Touchscreen / 4K Ultra HD 3840","Intel Core i5 6300HQ 2.3GHz","8GB","256GB SSD","Nvidia GeForce 960M","Windows","10","2.04kg","2250,68","4687","3444"
"HP","15-bw002nv (A6-9220/4GB/256GB/Radeon","Notebook","15.6""","Full HD 1920x1080","AMD A6-Series A6-9220 2.5GHz","4GB","256GB SSD","AMD Radeon 520","Windows","10","1.91kg","478,89","1281","814"
"MSI","GP72M 7REX","Gaming","17.3""","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows","10","2.7kg","1492,80","6954","5919"
"Lenovo","ThinkPad T460s","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","12GB","512GB SSD","Intel HD Graphics 520","Windows","7","1.4kg","2299,00","3507","863"
"Lenovo","B51-80 (i5-6200U/8GB/1008GB/Radeon","Notebook","15.6""","Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","1TB Hybrid","AMD Radeon R5 M330","Windows","10","2.5kg","788,49","3024","596"
"HP","Spectre Pro","2 in 1 Convertible","13.3""","Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","8GB","512GB SSD","Intel HD Graphics 520","Windows","10","1.48kg","2041,00","3507","863"
"Lenovo","ThinkPad T460","Ultrabook","14.0""","Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows","7","1.7kg","1499,00","3507","863"
"MSI","GS40 Phantom","Gaming","14.0""","Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 970M","Windows","10","1.7kg","1769,00","6550","5826"
